Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev
SG,Arron Afflalo,4200,Hou@NY 07:30PM ET,18.667,NY
PF,Brandon Bass,3200,Ind@LAL 09:30PM ET,13.464,LAL
SF,C.J. Miles,5400,Ind@LAL 09:30PM ET,24.854,Ind
SF,Carmelo Anthony,8000,Hou@NY 07:30PM ET,39.294,NY
SF,Chase Budinger,3300,Ind@LAL 09:30PM ET,11.483,Ind
C,Clint Capela,4900,Hou@NY 07:30PM ET,20.984,Hou
SF,Corey Brewer,3400,Hou@NY 07:30PM ET,13.984,Hou
PG,D'Angelo Russell,4900,Ind@LAL 09:30PM ET,22.917,LAL
SF,Derrick Williams,3000,Hou@NY 07:30PM ET,12.422,NY
C,Dwight Howard,7400,Hou@NY 07:30PM ET,37,Hou
PG,George Hill,5900,Ind@LAL 09:30PM ET,28.063,Ind
C,Ian Mahinmi,4700,Ind@LAL 09:30PM ET,22.357,Ind
SG,James Harden,10200,Hou@NY 07:30PM ET,52.672,Hou
PG,Jerian Grant,3000,Hou@NY 07:30PM ET,13.132,NY
SG,Jordan Clarkson,5000,Ind@LAL 09:30PM ET,24.367,LAL
PF,Jordan Hill,4900,Ind@LAL 09:30PM ET,23.885,Ind
PG,Jose Calderon,3900,Hou@NY 07:30PM ET,17.721,NY
PF,Julius Randle,5900,Ind@LAL 09:30PM ET,27.767,LAL
SG,Kobe Bryant,6000,Ind@LAL 09:30PM ET,27.646,LAL
PF,Kristaps Porzingis,7500,Hou@NY 07:30PM ET,31.412,NY
PF,Kyle O'Quinn,3000,Hou@NY 07:30PM ET,14.583,NY
SG,Langston Galloway,3800,Hou@NY 07:30PM ET,20.118,NY
PF,Larry Nance Jr.,3000,Ind@LAL 09:30PM ET,10.8,LAL
C,Lavoy Allen,3800,Ind@LAL 09:30PM ET,15.911,Ind
PG,Marcelo Huertas,3000,Ind@LAL 09:30PM ET,10.844,LAL
SF,Marcus Thornton,4100,Hou@NY 07:30PM ET,19.286,Hou
SF,Metta World Peace,3200,Ind@LAL 09:30PM ET,12.75,LAL
SG,Monta Ellis,6200,Ind@LAL 09:30PM ET,28.467,Ind
SG,Nick Young,3400,Ind@LAL 09:30PM ET,14.55,LAL
PG,Patrick Beverley,3700,Hou@NY 07:30PM ET,12.611,Hou
SF,Paul George,10100,Ind@LAL 09:30PM ET,47.333,Ind
C,Robin Lopez,4100,Hou@NY 07:30PM ET,20.603,NY
SG,Rodney Stuckey,3900,Ind@LAL 09:30PM ET,17.925,Ind
C,Roy Hibbert,4800,Ind@LAL 09:30PM ET,23.65,LAL
SF,Ryan Kelly,3000,Ind@LAL 09:30PM ET,11.792,LAL
SG,Sasha Vujacic,3000,Hou@NY 07:30PM ET,10.365,NY
PF,Terrence Jones,5700,Hou@NY 07:30PM ET,22.955,Hou
SF,Trevor Ariza,5700,Hou@NY 07:30PM ET,26.453,Hou
PG,Ty Lawson,3900,Hou@NY 07:30PM ET,18.766,Hou
