Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev
WR,Julio Jones,9000,Atl@TB 01:00PM ET,25.227,Atl
WR,Odell Beckham Jr.,8900,NYJ@NYG 01:00PM ET,22.255,NYG
WR,DeAndre Hopkins,8800,Hou@Buf 01:00PM ET,23.645,Hou
RB,Devonta Freeman,8000,Atl@TB 01:00PM ET,24.44,Atl
WR,A.J. Green,7600,Cin@Cle 01:00PM ET,17.9,Cin
WR,Larry Fitzgerald,7400,Ari@StL 01:00PM ET,21.018,Ari
WR,Mike Evans,7300,Atl@TB 01:00PM ET,15.09,TB
WR,Allen Robinson,7300,Jax@Ten 01:00PM ET,18.609,Jax
RB,Todd Gurley,7300,Ari@StL 01:00PM ET,17.522,StL
WR,Brandon Marshall,7100,NYJ@NYG 01:00PM ET,21.282,NYJ
RB,Matt Forte,6900,SF@Chi 01:00PM ET,16.25,Chi
WR,Alshon Jeffery,6900,SF@Chi 01:00PM ET,20.75,Chi
QB,Carson Palmer,6700,Ari@StL 01:00PM ET,23.598,Ari
QB,Matt Ryan,6700,Atl@TB 01:00PM ET,17.671,Atl
WR,Jarvis Landry,6700,Bal@Mia 01:00PM ET,19.333,Mia
RB,Adrian Peterson,6600,Sea@Min 01:00PM ET,20.155,Min
QB,Eli Manning,6500,NYJ@NYG 01:00PM ET,19.958,NYG
QB,Andy Dalton,6400,Cin@Cle 01:00PM ET,21.813,Cin
WR,Eric Decker,6300,NYJ@NYG 01:00PM ET,16.8,NYJ
QB,Blake Bortles,6000,Jax@Ten 01:00PM ET,20.689,Jax
RB,Chris Ivory,5900,NYJ@NYG 01:00PM ET,16.66,NYJ
RB,Doug Martin,5900,Atl@TB 01:00PM ET,16.245,TB
RB,Lamar Miller,5800,Bal@Mia 01:00PM ET,16.073,Mia
TE,Delanie Walker,5700,Jax@Ten 01:00PM ET,15.28,Ten
RB,LeSean McCoy,5700,Hou@Buf 01:00PM ET,17.322,Buf
QB,Russell Wilson,5600,Sea@Min 01:00PM ET,19.529,Sea
WR,Sammy Watkins,5600,Hou@Buf 01:00PM ET,14.95,Buf
QB,Marcus Mariota,5500,Jax@Ten 01:00PM ET,19.051,Ten
RB,Javorius Allen,5400,Bal@Mia 01:00PM ET,6.082,Bal
RB,Thomas Rawls,5400,Sea@Min 01:00PM ET,10.264,Sea
TE,Gary Barnidge,5300,Cin@Cle 01:00PM ET,16.527,Cle
QB,Ryan Tannehill,5300,Bal@Mia 01:00PM ET,18.84,Mia
RB,Jeremy Langford,5300,SF@Chi 01:00PM ET,10.545,Chi
QB,Jameis Winston,5300,Atl@TB 01:00PM ET,18.136,TB
QB,Ryan Fitzpatrick,5200,NYJ@NYG 01:00PM ET,17.976,NYJ
QB,Tyrod Taylor,5200,Hou@Buf 01:00PM ET,19.089,Buf
WR,Travis Benjamin,5200,Cin@Cle 01:00PM ET,16.355,Cle
QB,Jay Cutler,5100,SF@Chi 01:00PM ET,17.67,Chi
