"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"WR","Antonio Brown",8700,"Pit@Sea 04:25PM ET",24.690,"Pit"
"WR","Larry Fitzgerald",7400,"Ari@SF 04:05PM ET",21.460,"Ari"
"QB","Carson Palmer",7100,"Ari@SF 04:05PM ET",24.214,"Ari"
"QB","Ben Roethlisberger",6700,"Pit@Sea 04:25PM ET",21.697,"Pit"
"RB","Marshawn Lynch",6500,"Pit@Sea 04:25PM ET",12.243,"Sea"
"QB","Russell Wilson",6000,"Pit@Sea 04:25PM ET",17.662,"Sea"
"RB","DeAngelo Williams",5700,"Pit@Sea 04:25PM ET",11.810,"Pit"
"WR","Martavis Bryant",5600,"Pit@Sea 04:25PM ET",20.620,"Pit"
"QB","Mike Vick",5000,"Pit@Sea 04:25PM ET",6.348,"Pit"
"QB","Tarvaris Jackson",5000,"Pit@Sea 04:25PM ET",0,"Sea"
"QB","Drew Stanton",5000,"Ari@SF 04:05PM ET",-0.100,"Ari"
"QB","Landry Jones",5000,"Pit@Sea 04:25PM ET",6.965,"Pit"
"QB","Blaine Gabbert",5000,"Ari@SF 04:05PM ET",16.680,"SF"
"WR","John Brown",5000,"Ari@SF 04:05PM ET",14.300,"Ari"
"QB","Matt Barkley",5000,"Ari@SF 04:05PM ET",0,"Ari"
"QB","Dylan Thompson",5000,"Ari@SF 04:05PM ET",0,"SF"
"TE","Jimmy Graham",4800,"Pit@Sea 04:25PM ET",11.200,"Sea"
"RB","Chris Johnson",4600,"Ari@SF 04:05PM ET",11.950,"Ari"
"RB","Thomas Rawls",4500,"Pit@Sea 04:25PM ET",9.880,"Sea"
"WR","Anquan Boldin",4000,"Ari@SF 04:05PM ET",12.563,"SF"
"DST","Cardinals ",3900,"Ari@SF 04:05PM ET",9.200,"Ari"
"DST","Seahawks ",3800,"Pit@Sea 04:25PM ET",10.600,"Sea"
"RB","Shaun Draughn",3800,"Ari@SF 04:05PM ET",4.629,"SF"
"WR","Doug Baldwin",3800,"Pit@Sea 04:25PM ET",11.890,"Sea"
"WR","Michael Floyd",3800,"Ari@SF 04:05PM ET",11.800,"Ari"
"RB","Carlos Hyde",3800,"Ari@SF 04:05PM ET",12.043,"SF"
"RB","Andre Ellington",3500,"Ari@SF 04:05PM ET",8.671,"Ari"
"WR","Jermaine Kearse",3300,"Pit@Sea 04:25PM ET",6.920,"Sea"
"RB","David Johnson",3300,"Ari@SF 04:05PM ET",9.310,"Ari"
"WR","Torrey Smith",3200,"Ari@SF 04:05PM ET",7.620,"SF"
"TE","Heath Miller",3100,"Pit@Sea 04:25PM ET",7.950,"Pit"
"DST","Steelers ",3000,"Pit@Sea 04:25PM ET",8.500,"Pit"
"WR","Jerome Simpson",3000,"Ari@SF 04:05PM ET",3.200,"SF"
"WR","Darrius Heyward-Bey",3000,"Pit@Sea 04:25PM ET",4.990,"Pit"
"RB","Bruce Miller",3000,"Ari@SF 04:05PM ET",1.830,"SF"
"WR","Jacoby Jones",3000,"Pit@Sea 04:25PM ET",0.000,"Pit"
"RB","Fred Jackson",3000,"Pit@Sea 04:25PM ET",4.680,"Sea"
"RB","Travaris Cadet",3000,"Ari@SF 04:05PM ET",0.600,"SF"
"RB","Will Tukuafu",3000,"Pit@Sea 04:25PM ET",0.775,"Sea"
"RB","Will Johnson",3000,"Pit@Sea 04:25PM ET",0.670,"Pit"
"RB","Isaiah Pead",3000,"Pit@Sea 04:25PM ET",-0.350,"Pit"
"RB","Derrick Coleman",3000,"Pit@Sea 04:25PM ET",0.150,"Sea"
"WR","Jaron Brown",3000,"Ari@SF 04:05PM ET",2.780,"Ari"
"RB","Jordan Todman",3000,"Pit@Sea 04:25PM ET",0.220,"Pit"
"WR","Markus Wheaton",3000,"Pit@Sea 04:25PM ET",5.130,"Pit"
"RB","Kendall Gaskins",3000,"Ari@SF 04:05PM ET",2.100,"SF"
"RB","Stepfan Taylor",3000,"Ari@SF 04:05PM ET",0.250,"Ari"
"RB","Roosevelt Nix",3000,"Pit@Sea 04:25PM ET",0.200,"Pit"
"WR","DeAndrew White",3000,"Ari@SF 04:05PM ET",0.950,"SF"
"WR","J.J. Nelson",3000,"Ari@SF 04:05PM ET",7.240,"Ari"
"WR","Kevin Smith",3000,"Pit@Sea 04:25PM ET",0.000,"Sea"
"WR","Paul Richardson",3000,"Pit@Sea 04:25PM ET",5.000,"Sea"
"WR","Quinton Patton",3000,"Ari@SF 04:05PM ET",4.990,"SF"
"WR","Sammie Coates",3000,"Pit@Sea 04:25PM ET",0.300,"Pit"
"WR","Bruce Ellington",3000,"Ari@SF 04:05PM ET",2.014,"SF"
"WR","Tyler Lockett",3000,"Pit@Sea 04:25PM ET",8.540,"Sea"
"WR","Brittan Golden",3000,"Ari@SF 04:05PM ET",0.000,"Ari"
"TE","Vance McDonald",2700,"Ari@SF 04:05PM ET",3.544,"SF"
"TE","Mike Leach",2500,"Ari@SF 04:05PM ET",0.000,"Ari"
"TE","Matt Spaeth",2500,"Pit@Sea 04:25PM ET",0.200,"Pit"
"TE","Darren Fells",2500,"Ari@SF 04:05PM ET",6.188,"Ari"
"TE","Kyle Nelson",2500,"Ari@SF 04:05PM ET",0.000,"SF"
"TE","Jermaine Gresham",2500,"Ari@SF 04:05PM ET",3.480,"Ari"
"TE","Garrett Celek",2500,"Ari@SF 04:05PM ET",5.560,"SF"
"TE","Luke Willson",2500,"Pit@Sea 04:25PM ET",3.444,"Sea"
"TE","Cooper Helfet",2500,"Pit@Sea 04:25PM ET",0.213,"Sea"
"TE","Blake Bell",2500,"Ari@SF 04:05PM ET",0.588,"SF"
"TE","Troy Niklas",2500,"Ari@SF 04:05PM ET",1.750,"Ari"
"TE","Jesse James",2500,"Pit@Sea 04:25PM ET",5.250,"Pit"
"DST","49ers ",2000,"Ari@SF 04:05PM ET",4.200,"SF"
